Origem	Voos

Lisboa	11

Madrid	9

Paris, Orly	8

Geneva	6

Brussels	4

Madeira	4

Barcelona	3

Frankfurt	3

London, Gatwick	3

Faro	2

Paris, Ch. de Gaulle	2

Basel	2

Paris, Beauvais	2

London, Stansted	2

Luxembourg	2

Zurich	2

Clermont-Ferrand	2

Milan, Malpensa	2

Rome, Fiumicino	1

Amsterdam	1

Saint Etienne	1

Frankfurt, Hahn	1

Palma Mallorca	1

Brussels, Charleroi	1

Valencia	1

Lille	1

Tenerife Sur	1

Memmingen	1

Luanda	1

Istanbul, Ataturk	1

Toronto, Pearson	1

Marseille	1

Toulouse, Blagnac	1

Carcassonne	1

Lyon, St. Exupery	1

Milan/Bergamo	1

Eindhoven	1

London, Luton	1

Manchester	1

Hamburg	1

São Paulo, Guarulhos	1

Paris, Vatry	1

Ponta Delgada	1

